S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,Date and Time
                                        163,NMBMF,                                        673.00,                                        3.00,                                        0.45,                                        683.40,                                        683.40,                                        651.10,"                                        3,734.00",                                        670.00,2023-07-20 15:00:00
                                        164,NRIC,                                        740.00,                                        -5.60,                                        -0.75,                                        746.00,                                        759.40,                                        736.20,"                                        18,689.00",                                        745.60,2023-07-20 15:00:00
                                        165,NRN,                                        508.00,                                        -0.20,                                        -0.04,                                        505.10,                                        516.00,                                        505.10,"                                        19,372.00",                                        508.20,2023-07-20 15:00:00
                                        166,NSIF2,                                        9.43,                                        -0.18,                                        -1.87,                                        9.42,                                        9.60,                                        9.42,"                                        1,500.00",                                        9.61,2023-07-20 15:00:00
                                        167,NTC,                                        912.00,                                        -3.00,                                        -0.33,                                        919.00,                                        924.00,                                        910.00,"                                        34,496.00",                                        915.00,2023-07-20 15:00:00
                                        168,NUBL,                                        748.00,                                        -16.80,                                        -2.20,                                        769.00,                                        769.00,                                        748.00,"                                        7,546.00",                                        764.80,2023-07-20 15:00:00
                                        169,NYADI,                                        273.00,                                        5.00,                                        1.87,                                        265.00,                                        293.00,                                        262.00,"                                        7,324.00",                                        268.00,2023-07-20 15:00:00
                                        170,OHL,                                        810.00,                                        -5.00,                                        -0.61,                                        803.10,                                        815.00,                                        789.00,"                                        35,495.00",                                        815.00,2023-07-20 15:00:00
                                        171,PBD88,                                        900.00,                                        28.90,                                        3.32,                                        888.50,                                        900.00,                                        888.50,                                        50.00,                                        871.10,2023-07-20 15:00:00
                                        172,PBLD87,                                        800.00,                                        0.00,                                        0.00,                                        809.90,                                        810.00,                                        800.00,                                        350.00,                                        800.00,2023-07-20 15:00:00
                                        173,PCBL,                                        208.30,                                        -1.70,                                        -0.81,                                        210.00,                                        213.80,                                        208.00,"                                        141,018.00",                                        210.00,2023-07-20 15:00:00
                                        174,PFL,                                        405.00,                                        -5.00,                                        -1.22,                                        409.80,                                        413.00,                                        402.00,"                                        13,738.00",                                        410.00,2023-07-20 15:00:00
                                        175,PHCL,                                        333.00,                                        1.50,                                        0.45,                                        324.90,                                        338.10,                                        319.10,"                                        18,730.00",                                        331.50,2023-07-20 15:00:00
                                        176,PMHPL,                                        204.90,                                        1.90,                                        0.94,                                        202.00,                                        205.50,                                        199.00,"                                        9,505.00",                                        203.00,2023-07-20 15:00:00
                                        177,PPCL,                                        264.30,                                        -4.70,                                        -1.75,                                        272.90,                                        274.20,                                        262.00,"                                        19,598.00",                                        269.00,2023-07-20 15:00:00
                                        178,PPL,                                        253.00,                                        1.10,                                        0.44,                                        246.90,                                        256.90,                                        242.40,"                                        7,699.00",                                        251.90,2023-07-20 15:00:00
                                        179,PRIN,                                        759.00,                                        -9.00,                                        -1.17,                                        770.00,                                        775.00,                                        755.10,"                                        22,421.00",                                        768.00,2023-07-20 15:00:00
                                        180,PROFL,                                        419.20,                                        -7.80,                                        -1.83,                                        434.90,                                        434.90,                                        419.00,"                                        29,711.00",                                        427.00,2023-07-20 15:00:00
                                        181,PRVU,                                        177.50,                                        -1.40,                                        -0.78,                                        180.00,                                        182.40,                                        176.30,"                                        305,740.00",                                        178.90,2023-07-20 15:00:00
                                        182,PRVUPO,                                        115.00,                                        0.00,                                        0.00,                                        115.00,                                        115.00,                                        115.00,"                                        200,000.00",                                        115.00,2023-07-20 15:00:00
                                        183,PSF,                                        9.10,                                        0.00,                                        0.00,                                        9.00,                                        9.18,                                        9.00,"                                        65,380.00",                                        9.10,2023-07-20 15:00:00
                                        184,RADHI,                                        236.90,                                        3.70,                                        1.59,                                        233.00,                                        237.00,                                        232.20,"                                        32,300.00",                                        233.20,2023-07-20 15:00:00
                                        185,RAWA,                                        370.00,                                        14.00,                                        3.93,                                        349.00,                                        373.00,                                        348.90,"                                        8,862.00",                                        356.00,2023-07-20 15:00:00
                                        186,RBCL,"                                        16,050.00",                                        0.00,                                        0.00,"                                        15,900.10","                                        16,300.00","                                        15,900.00",                                        539.00,"                                        16,050.00",2023-07-20 15:00:00
                                        187,RBCLPO,"                                        15,267.90",                                        292.90,                                        1.96,"                                        14,676.00","                                        15,579.40","                                        14,217.00","                                        1,171.00","                                        14,975.00",2023-07-20 15:00:00
                                        188,RFPL,                                        251.00,                                        -2.00,                                        -0.79,                                        248.00,                                        258.00,                                        245.90,"                                        10,567.00",                                        253.00,2023-07-20 15:00:00
                                        189,RHGCL,                                        247.90,                                        1.90,                                        0.77,                                        242.10,                                        254.90,                                        238.40,"                                        11,850.00",                                        246.00,2023-07-20 15:00:00
                                        190,RHPL,                                        304.20,                                        6.20,                                        2.08,                                        297.50,                                        306.20,                                        297.50,"                                        16,974.00",                                        298.00,2023-07-20 15:00:00
                                        191,RIDI,                                        252.00,                                        8.70,                                        3.58,                                        240.00,                                        254.00,                                        240.00,"                                        81,688.00",                                        243.30,2023-07-20 15:00:00
                                        192,RLFL,                                        381.00,                                        -3.00,                                        -0.78,                                        380.10,                                        383.00,                                        378.00,"                                        24,851.00",                                        384.00,2023-07-20 15:00:00
                                        193,RMF1,                                        7.65,                                        -0.05,                                        -0.65,                                        7.56,                                        7.71,                                        7.56,"                                        2,516.00",                                        7.70,2023-07-20 15:00:00
                                        194,RSDC,                                        615.00,                                        -13.30,                                        -2.12,                                        625.00,                                        629.90,                                        606.00,"                                        16,374.00",                                        628.30,2023-07-20 15:00:00
                                        195,RURU,                                        782.00,                                        -18.00,                                        -2.25,                                        785.00,                                        786.00,                                        774.00,                                        287.00,                                        800.00,2023-07-20 15:00:00
                                        196,SABSL,                                        748.00,                                        -10.00,                                        -1.32,                                        743.00,                                        753.00,                                        741.00,"                                        1,184.00",                                        758.00,2023-07-20 15:00:00
                                        197,SADBL,                                        337.00,                                        -1.70,                                        -0.50,                                        343.00,                                        343.00,                                        334.60,"                                        50,857.00",                                        338.70,2023-07-20 15:00:00
                                        198,SAEF,                                        11.22,                                        0.00,                                        0.00,                                        11.44,                                        12.30,                                        11.01,"                                        17,100.00",                                        11.22,2023-07-20 15:00:00
                                        199,SAGF,                                        8.50,                                        -0.25,                                        -2.86,                                        8.75,                                        8.75,                                        8.50,"                                        1,620.00",                                        8.75,2023-07-20 15:00:00
                                        200,SAHAS,                                        495.00,                                        13.90,                                        2.89,                                        481.00,                                        498.70,                                        481.00,"                                        11,293.00",                                        481.10,2023-07-20 15:00:00
                                        201,SALICO,                                        768.10,                                        -5.90,                                        -0.76,                                        789.00,                                        789.00,                                        766.00,"                                        14,725.00",                                        774.00,2023-07-20 15:00:00
                                        202,SANIMA,                                        286.00,                                        -4.20,                                        -1.45,                                        290.20,                                        294.00,                                        285.10,"                                        124,653.00",                                        290.20,2023-07-20 15:00:00
                                        203,SAPDBL,                                        272.00,                                        -1.00,                                        -0.37,                                        268.00,                                        273.30,                                        265.00,"                                        6,823.00",                                        273.00,2023-07-20 15:00:00
                                        204,SBCF,                                        8.05,                                        0.16,                                        2.03,                                        7.75,                                        8.05,                                        7.74,"                                        9,950.00",                                        7.89,2023-07-20 15:00:00
                                        205,SBI,                                        364.00,                                        0.50,                                        0.14,                                        365.00,                                        366.90,                                        357.00,"                                        66,178.00",                                        363.50,2023-07-20 15:00:00
                                        206,SBID83,                                        960.00,                                        -20.00,                                        -2.04,                                        970.00,                                        970.00,                                        950.60,                                        90.00,                                        980.00,2023-07-20 15:00:00
                                        207,SBL,                                        277.00,                                        3.00,                                        1.09,                                        279.00,                                        279.00,                                        268.60,"                                        83,680.00",                                        274.00,2023-07-20 15:00:00
                                        208,SBLD84,                                        862.40,                                        0.00,                                        0.00,                                        869.50,                                        869.50,                                        862.40,                                        125.00,                                        862.40,2023-07-20 15:00:00
                                        209,SCB,                                        563.00,                                        1.00,                                        0.18,                                        564.90,                                        570.00,                                        557.00,"                                        43,884.00",                                        562.00,2023-07-20 15:00:00
                                        210,SDLBSL,                                        749.90,                                        4.90,                                        0.66,                                        745.00,                                        755.00,                                        741.00,                                        896.00,                                        745.00,2023-07-20 15:00:00
                                        211,SEF,                                        9.05,                                        0.06,                                        0.67,                                        9.14,                                        9.14,                                        9.00,"                                        1,140.00",                                        8.99,2023-07-20 15:00:00
                                        212,SFCL,                                        319.10,                                        -4.90,                                        -1.51,                                        330.00,                                        330.00,                                        319.00,"                                        28,174.00",                                        324.00,2023-07-20 15:00:00
                                        213,SFEF,                                        8.80,                                        -0.15,                                        -1.68,                                        8.80,                                        8.90,                                        8.80,"                                        1,075.00",                                        8.95,2023-07-20 15:00:00
                                        214,SFMF,                                        11.23,                                        -0.06,                                        -0.53,                                        11.07,                                        11.23,                                        10.86,"                                        11,050.00",                                        11.29,2023-07-20 15:00:00
                                        215,SGHC,                                        271.00,                                        6.00,                                        2.26,                                        270.30,                                        275.40,                                        260.00,"                                        7,020.00",                                        265.00,2023-07-20 15:00:00
                                        216,SGIC,                                        645.00,                                        -22.00,                                        -3.30,                                        654.00,                                        664.00,                                        645.00,"                                        13,725.00",                                        667.00,2023-07-20 15:00:00
                                        217,SHEL,                                        276.00,                                        -4.00,                                        -1.43,                                        274.40,                                        285.00,                                        274.30,"                                        4,525.00",                                        280.00,2023-07-20 15:00:00
                                        218,SHINE,                                        402.00,                                        -3.00,                                        -0.74,                                        405.00,                                        408.80,                                        399.00,"                                        105,378.00",                                        405.00,2023-07-20 15:00:00
                                        219,SHIVM,                                        635.00,                                        -7.00,                                        -1.09,                                        642.00,                                        649.90,                                        630.10,"                                        223,414.00",                                        642.00,2023-07-20 15:00:00
                                        220,SHL,                                        480.00,                                        -1.90,                                        -0.39,                                        488.00,                                        488.00,                                        470.00,"                                        195,233.00",                                        481.90,2023-07-20 15:00:00
                                        221,SHLB,"                                        1,214.00",                                        -6.00,                                        -0.49,"                                        1,220.00","                                        1,220.00","                                        1,197.00","                                        1,433.00","                                        1,220.00",2023-07-20 15:00:00
                                        222,SHPC,                                        369.00,                                        3.00,                                        0.82,                                        365.00,                                        373.00,                                        363.10,"                                        65,683.00",                                        366.00,2023-07-20 15:00:00
                                        223,SICL,                                        870.00,                                        -6.00,                                        -0.68,                                        884.00,                                        884.00,                                        865.00,"                                        7,529.00",                                        876.00,2023-07-20 15:00:00
                                        224,SIFC,                                        377.30,                                        -7.70,                                        -2.00,                                        385.00,                                        390.00,                                        377.30,"                                        13,245.00",                                        385.00,2023-07-20 15:00:00
                                        225,SIGS2,                                        8.82,                                        -0.17,                                        -1.89,                                        9.00,                                        9.00,                                        8.82,"                                        71,966.00",                                        8.99,2023-07-20 15:00:00
                                        226,SIKLES,                                        390.00,                                        1.50,                                        0.39,                                        381.00,                                        397.00,                                        381.00,"                                        2,346.00",                                        388.50,2023-07-20 15:00:00
                                        227,SINDU,                                        283.50,                                        -0.50,                                        -0.18,                                        288.00,                                        288.00,                                        282.00,"                                        11,747.00",                                        284.00,2023-07-20 15:00:00
                                        228,SJCL,                                        300.00,                                        0.00,                                        0.00,                                        295.10,                                        305.00,                                        295.10,"                                        8,651.00",                                        300.00,2023-07-20 15:00:00
                                        229,SJLIC,                                        621.00,                                        -9.00,                                        -1.43,                                        620.00,                                        635.90,                                        618.10,"                                        49,922.00",                                        630.00,2023-07-20 15:00:00
                                        230,SLBBL,                                        728.00,                                        -2.00,                                        -0.27,                                        731.00,                                        731.00,                                        717.00,"                                        7,254.00",                                        730.00,2023-07-20 15:00:00
                                        231,SLBSL,                                        920.00,                                        -50.00,                                        -5.15,                                        988.00,                                        988.00,                                        920.00,                                        80.00,                                        970.00,2023-07-20 15:00:00
                                        232,SLCF,                                        7.86,                                        0.01,                                        0.13,                                        7.85,                                        7.99,                                        7.77,"                                        19,700.00",                                        7.85,2023-07-20 15:00:00
                                        233,SMATA,                                        700.50,                                        -19.50,                                        -2.71,                                        710.10,                                        714.00,                                        700.00,                                        181.00,                                        720.00,2023-07-20 15:00:00
                                        234,SMB,                                        985.00,                                        0.00,                                        0.00,"                                        1,003.80","                                        1,004.00",                                        984.00,                                        188.00,                                        985.00,2023-07-20 15:00:00
                                        235,SMFBS,"                                        1,178.00",                                        -1.00,                                        -0.08,"                                        1,156.00","                                        1,178.00","                                        1,156.00",                                        84.00,"                                        1,179.00",2023-07-20 15:00:00
                                        236,SMH,                                        585.20,                                        -4.80,                                        -0.81,                                        599.90,                                        599.90,                                        582.00,"                                        1,930.00",                                        590.00,2023-07-20 15:00:00
                                        237,SMHL,                                        404.80,                                        7.80,                                        1.96,                                        390.10,                                        406.10,                                        390.00,"                                        5,060.00",                                        397.00,2023-07-20 15:00:00
                                        238,SMJC,                                        252.30,                                        4.20,                                        1.69,                                        245.00,                                        257.00,                                        245.00,"                                        16,464.00",                                        248.10,2023-07-20 15:00:00
                                        239,SPC,                                        410.00,                                        2.90,                                        0.71,                                        405.00,                                        415.00,                                        401.00,"                                        2,503.00",                                        407.10,2023-07-20 15:00:00
                                        240,SPDL,                                        256.00,                                        -4.00,                                        -1.54,                                        265.00,                                        265.00,                                        256.00,"                                        67,850.00",                                        260.00,2023-07-20 15:00:00
                                        241,SPHL,                                        359.00,                                        -18.00,                                        -4.77,                                        369.50,                                        375.00,                                        356.00,"                                        3,749.00",                                        377.00,2023-07-20 15:00:00
                                        242,SPIL,                                        808.00,                                        -6.90,                                        -0.85,                                        826.00,                                        826.00,                                        800.50,"                                        33,516.00",                                        814.90,2023-07-20 15:00:00
                                        243,SPL,                                        826.00,                                        -24.00,                                        -2.82,                                        850.00,                                        865.00,                                        790.00,"                                        2,952.00",                                        850.00,2023-07-20 15:00:00
                                        244,SRLI,                                        562.00,                                        -3.00,                                        -0.53,                                        560.00,                                        571.20,                                        560.00,"                                        25,126.00",                                        565.00,2023-07-20 15:00:00
                                        245,SSHL,                                        186.00,                                        4.00,                                        2.20,                                        184.00,                                        189.90,                                        182.20,"                                        70,881.00",                                        182.00,2023-07-20 15:00:00
                                        246,STC,"                                        5,480.00",                                        305.10,                                        5.90,"                                        5,200.00","                                        5,532.00","                                        5,150.00","                                        11,804.00","                                        5,174.90",2023-07-20 15:00:00
                                        247,SWBBL,                                        877.70,                                        -2.30,                                        -0.26,                                        890.00,                                        890.00,                                        877.00,"                                        22,598.00",                                        880.00,2023-07-20 15:00:00
                                        248,SWMF,                                        750.00,                                        -22.00,                                        -2.85,                                        757.00,                                        762.90,                                        742.00,"                                        5,412.00",                                        772.00,2023-07-20 15:00:00
                                        249,TAMOR,                                        289.00,                                        4.00,                                        1.40,                                        281.00,                                        292.00,                                        281.00,"                                        18,448.00",                                        285.00,2023-07-20 15:00:00
                                        250,TPC,                                        374.00,                                        4.00,                                        1.08,                                        377.40,                                        377.40,                                        356.30,"                                        1,227.00",                                        370.00,2023-07-20 15:00:00
                                        251,TRH,                                        795.20,                                        -6.80,                                        -0.85,                                        802.00,                                        815.00,                                        790.10,"                                        20,085.00",                                        802.00,2023-07-20 15:00:00
                                        252,UAIL,                                        621.00,                                        -10.00,                                        -1.58,                                        643.40,                                        643.40,                                        620.00,"                                        95,250.00",                                        631.00,2023-07-20 15:00:00
                                        253,UHEWA,                                        330.00,                                        25.00,                                        8.20,                                        311.00,                                        331.00,                                        306.00,"                                        19,132.00",                                        305.00,2023-07-20 15:00:00
                                        254,ULBSL,"                                        1,463.00",                                        -22.00,                                        -1.48,"                                        1,514.70","                                        1,514.70","                                        1,462.00",                                        664.00,"                                        1,485.00",2023-07-20 15:00:00
                                        255,UMHL,                                        214.10,                                        -1.80,                                        -0.83,                                        218.00,                                        218.00,                                        214.00,"                                        35,469.00",                                        215.90,2023-07-20 15:00:00
                                        256,UMRH,                                        444.00,                                        4.00,                                        0.91,                                        435.00,                                        449.80,                                        435.00,"                                        2,391.00",                                        440.00,2023-07-20 15:00:00
                                        257,UNHPL,                                        203.00,                                        4.00,                                        2.01,                                        195.10,                                        204.80,                                        195.10,"                                        25,772.00",                                        199.00,2023-07-20 15:00:00
                                        258,UNL,"                                        38,453.30","                                        1,223.30",                                        3.29,"                                        37,974.00","                                        39,290.00","                                        37,684.30",                                        180.00,"                                        37,230.00",2023-07-20 15:00:00
                                        259,UNLB,"                                        1,331.00",                                        -10.00,                                        -0.75,"                                        1,314.30","                                        1,360.00","                                        1,314.30","                                        1,945.00","                                        1,341.00",2023-07-20 15:00:00
                                        260,UPCL,                                        221.50,                                        1.50,                                        0.68,                                        223.00,                                        226.00,                                        219.10,"                                        75,933.00",                                        220.00,2023-07-20 15:00:00
                                        261,UPPER,                                        425.00,                                        2.20,                                        0.52,                                        429.50,                                        429.50,                                        421.10,"                                        34,022.00",                                        422.80,2023-07-20 15:00:00
                                        262,USHEC,                                        267.50,                                        5.50,                                        2.10,                                        257.00,                                        270.00,                                        254.00,"                                        4,000.00",                                        262.00,2023-07-20 15:00:00
                                        263,USLB,                                        825.00,                                        -25.00,                                        -2.94,                                        833.00,                                        840.00,                                        825.00,                                        882.00,                                        850.00,2023-07-20 15:00:00
                                        264,WNLB,                                        864.00,                                        14.00,                                        1.65,                                        864.00,                                        902.70,                                        851.50,"                                        1,294.00",                                        850.00,2023-07-20 15:00:00
