S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,Date and Time
                                        38,CZBIL,                                        189.00,                                        -4.20,                                        -2.17,                                        194.00,                                        196.90,                                        187.50,"                                        115,934.00",                                        193.20,2023-07-20 15:00:00
                                        39,DDBL,                                        814.00,                                        -23.00,                                        -2.75,                                        837.50,                                        838.00,                                        812.40,"                                        9,196.00",                                        837.00,2023-07-20 15:00:00
                                        40,DHPL,                                        184.10,                                        1.10,                                        0.60,                                        181.00,                                        188.00,                                        181.00,"                                        5,358.00",                                        183.00,2023-07-20 15:00:00
                                        41,DOLTI,                                        242.70,                                        14.40,                                        6.31,                                        225.00,                                        242.70,                                        225.00,"                                        15,045.00",                                        228.30,2023-07-20 15:00:00
                                        42,DORDI,                                        249.30,                                        4.30,                                        1.76,                                        242.00,                                        257.00,                                        240.50,"                                        1,816.00",                                        245.00,2023-07-20 15:00:00
                                        43,EBL,                                        589.00,                                        -1.00,                                        -0.17,                                        590.00,                                        596.00,                                        586.00,"                                        63,738.00",                                        590.00,2023-07-20 15:00:00
                                        44,EBLD86,                                        821.00,                                        11.00,                                        1.36,                                        810.00,                                        830.00,                                        810.00,                                        305.00,                                        810.00,2023-07-20 15:00:00
                                        45,EDBL,                                        338.60,                                        2.20,                                        0.65,                                        340.00,                                        340.00,                                        331.30,"                                        25,782.00",                                        336.40,2023-07-20 15:00:00
                                        46,EHPL,                                        328.00,                                        -1.00,                                        -0.30,                                        323.00,                                        332.50,                                        320.00,"                                        1,440.00",                                        329.00,2023-07-20 15:00:00
                                        47,ENL,                                        739.90,                                        34.90,                                        4.95,                                        705.10,                                        749.70,                                        696.00,"                                        4,684.00",                                        705.00,2023-07-20 15:00:00
                                        48,FMDBL,                                        729.00,                                        -10.30,                                        -1.39,                                        750.00,                                        750.00,                                        728.70,"                                        20,531.00",                                        739.30,2023-07-20 15:00:00
                                        49,FOWAD,"                                        1,361.00",                                        -14.00,                                        -1.02,"                                        1,370.00","                                        1,402.00","                                        1,358.00","                                        7,269.00","                                        1,375.00",2023-07-20 15:00:00
