S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,Date and Time
                                        1,ACLBSL,                                        650.00,                                        -4.50,                                        -0.69,                                        667.30,                                        680.00,                                        650.00,"                                        3,376.00",                                        654.50,2023-07-13 15:00:00
                                        2,ADBL,                                        228.20,                                        0.10,                                        0.04,                                        232.50,                                        232.50,                                        228.20,"                                        31,352.00",                                        228.10,2023-07-13 15:00:00
                                        3,ADBLD83,"                                        1,074.00",                                        5.00,                                        0.47,"                                        1,074.00","                                        1,074.00","                                        1,074.00",                                        10.00,"                                        1,069.00",2023-07-13 15:00:00
                                        4,AHL,                                        338.10,                                        -3.90,                                        -1.14,                                        342.00,                                        349.90,                                        338.10,"                                        4,313.00",                                        342.00,2023-07-13 15:00:00
                                        5,AHPC,                                        258.40,                                        -5.50,                                        -2.08,                                        269.10,                                        274.30,                                        258.30,"                                        109,470.00",                                        263.90,2023-07-13 15:00:00
                                        6,AKJCL,                                        195.00,                                        -5.40,                                        -2.69,                                        203.00,                                        209.90,                                        194.00,"                                        29,258.00",                                        200.40,2023-07-13 15:00:00
                                        7,AKPL,                                        237.30,                                        -10.70,                                        -4.31,                                        252.00,                                        254.00,                                        237.20,"                                        132,959.00",                                        248.00,2023-07-13 15:00:00
                                        8,ALBSL,                                        773.00,                                        -1.00,                                        -0.13,                                        789.00,                                        802.00,                                        772.20,"                                        2,546.00",                                        774.00,2023-07-13 15:00:00
                                        9,ALICL,                                        750.00,                                        -7.00,                                        -0.92,                                        770.00,                                        783.90,                                        745.00,"                                        76,660.00",                                        757.00,2023-07-13 15:00:00
                                        10,ANLB,"                                        2,388.70",                                        28.70,                                        1.22,"                                        2,396.00","                                        2,440.00","                                        2,344.00","                                        2,206.00","                                        2,360.00",2023-07-13 15:00:00
                                        11,API,                                        199.00,                                        -5.00,                                        -2.45,                                        208.00,                                        210.00,                                        197.00,"                                        126,946.00",                                        204.00,2023-07-13 15:00:00
                                        12,AVYAN,                                        716.00,                                        -12.00,                                        -1.65,                                        713.50,                                        756.00,                                        713.00,"                                        9,568.00",                                        728.00,2023-07-13 15:00:00
                                        13,BARUN,                                        245.00,                                        -3.00,                                        -1.21,                                        252.90,                                        260.00,                                        245.00,"                                        41,470.00",                                        248.00,2023-07-13 15:00:00
                                        14,BBC,"                                        3,410.10",                                        -59.90,                                        -1.73,"                                        3,460.00","                                        3,465.00","                                        3,410.00",                                        105.00,"                                        3,470.00",2023-07-13 15:00:00
                                        15,BEDC,                                        236.20,                                        -4.40,                                        -1.83,                                        236.00,                                        244.90,                                        232.10,"                                        8,649.00",                                        240.60,2023-07-13 15:00:00
                                        16,BFC,                                        353.90,                                        -8.10,                                        -2.24,                                        369.20,                                        369.20,                                        350.00,"                                        29,318.00",                                        362.00,2023-07-13 15:00:00
                                        17,BHDC,                                        399.00,                                        7.80,                                        1.99,                                        383.40,                                        399.00,                                        368.70,"                                        7,585.00",                                        391.20,2023-07-13 15:00:00
                                        18,BHL,                                        260.00,                                        -12.00,                                        -4.41,                                        277.40,                                        277.40,                                        255.30,"                                        7,622.00",                                        272.00,2023-07-13 15:00:00
                                        19,BHPL,                                        450.00,                                        -18.00,                                        -3.85,                                        461.00,                                        465.00,                                        445.10,"                                        2,141.00",                                        468.00,2023-07-13 15:00:00
                                        20,BNHC,                                        323.00,                                        -20.00,                                        -5.83,                                        338.00,                                        339.90,                                        323.00,"                                        5,114.00",                                        343.00,2023-07-13 15:00:00
                                        21,BNT,"                                        13,800.00",                                        57.00,                                        0.41,"                                        14,000.00","                                        14,000.00","                                        13,800.00",                                        25.00,"                                        13,743.00",2023-07-13 15:00:00
                                        22,BPCL,                                        327.30,                                        -3.70,                                        -1.12,                                        335.00,                                        341.00,                                        327.30,"                                        11,483.00",                                        331.00,2023-07-13 15:00:00
