S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,Date and Time
                                        23,BPW,"                                        1,133.00",                                        -4.30,                                        -0.38,"                                        1,117.10","                                        1,182.00","                                        1,117.10","                                        1,010.00","                                        1,137.30",2023-07-13 15:00:00
                                        24,CBBL,                                        980.00,                                        -5.00,                                        -0.51,"                                        1,000.00","                                        1,000.00",                                        975.00,"                                        17,830.00",                                        985.00,2023-07-13 15:00:00
                                        25,CBLD88,"                                        1,024.00",                                        73.40,                                        7.72,                                        950.00,"                                        1,024.00",                                        950.00,                                        80.00,                                        950.60,2023-07-13 15:00:00
                                        26,CCBD88,"                                        1,021.00",                                        18.20,                                        1.81,"                                        1,022.80","                                        1,022.80","                                        1,003.00",                                        45.00,"                                        1,002.80",2023-07-13 15:00:00
                                        27,CFCL,                                        392.00,                                        -11.00,                                        -2.73,                                        403.10,                                        406.00,                                        390.00,"                                        53,721.00",                                        403.00,2023-07-13 15:00:00
                                        28,CGH,"                                        1,290.00",                                        2.00,                                        0.16,"                                        1,312.00","                                        1,313.00","                                        1,260.00","                                        2,773.00","                                        1,288.00",2023-07-13 15:00:00
                                        29,CHCL,                                        538.00,                                        -2.00,                                        -0.37,                                        549.00,                                        552.00,                                        536.00,"                                        137,437.00",                                        540.00,2023-07-13 15:00:00
                                        30,CHDC,                                        903.00,                                        -10.00,                                        -1.10,                                        905.00,                                        927.10,                                        890.00,"                                        20,489.00",                                        913.00,2023-07-13 15:00:00
                                        31,CHL,                                        269.00,                                        -7.50,                                        -2.71,                                        280.00,                                        282.00,                                        265.00,"                                        6,644.00",                                        276.50,2023-07-13 15:00:00
                                        32,CIT,"                                        2,093.00",                                        -20.00,                                        -0.95,"                                        2,147.00","                                        2,147.00","                                        2,085.00","                                        15,377.00","                                        2,113.00",2023-07-13 15:00:00
                                        33,CITY,                                        696.10,                                        6.10,                                        0.88,                                        680.00,                                        725.00,                                        680.00,"                                        48,946.00",                                        690.00,2023-07-13 15:00:00
                                        34,CLBSL,                                        770.00,                                        15.00,                                        1.99,                                        770.10,                                        779.80,                                        746.00,                                        901.00,                                        755.00,2023-07-13 15:00:00
                                        35,CMF1,                                        9.34,                                        0.69,                                        7.98,                                        8.82,                                        9.34,                                        8.80,"                                        2,000.00",                                        8.65,2023-07-13 15:00:00
                                        36,CMF2,                                        9.46,                                        0.50,                                        5.58,                                        8.79,                                        9.46,                                        8.62,"                                        84,100.00",                                        8.96,2023-07-13 15:00:00
                                        37,CORBL,                                        363.50,                                        -13.50,                                        -3.58,                                        384.50,                                        392.10,                                        358.00,"                                        12,114.00",                                        377.00,2023-07-13 15:00:00
                                        38,CYCL,"                                        1,330.00",                                        25.40,                                        1.95,"                                        1,305.00","                                        1,346.00","                                        1,277.00","                                        9,547.00","                                        1,304.60",2023-07-13 15:00:00
                                        39,CZBIL,                                        169.00,                                        -1.90,                                        -1.11,                                        173.00,                                        173.00,                                        169.00,"                                        32,498.00",                                        170.90,2023-07-13 15:00:00
                                        40,DDBL,                                        822.10,                                        6.10,                                        0.75,                                        817.10,                                        836.00,                                        815.00,"                                        18,771.00",                                        816.00,2023-07-13 15:00:00
                                        41,DDBLPO,                                        440.00,                                        0.00,                                        0.00,                                        440.00,                                        440.00,                                        440.00,"                                        119,000.00",                                        440.00,2023-07-13 15:00:00
                                        42,DHPL,                                        190.20,                                        -3.80,                                        -1.96,                                        197.80,                                        201.70,                                        190.20,"                                        9,841.00",                                        194.00,2023-07-13 15:00:00
                                        43,DOLTI,                                        231.40,                                        -9.60,                                        -3.98,                                        237.10,                                        246.60,                                        231.40,"                                        8,899.00",                                        241.00,2023-07-13 15:00:00
                                        44,DORDI,                                        246.90,                                        -9.00,                                        -3.52,                                        251.00,                                        259.00,                                        239.40,"                                        12,898.00",                                        255.90,2023-07-13 15:00:00
                                        45,EBL,                                        562.00,                                        2.10,                                        0.38,                                        565.00,                                        568.00,                                        560.00,"                                        50,396.00",                                        559.90,2023-07-13 15:00:00
                                        46,EBLD86,                                        855.00,                                        46.20,                                        5.71,                                        824.90,                                        855.00,                                        824.90,                                        160.00,                                        808.80,2023-07-13 15:00:00
                                        47,EDBL,                                        326.00,                                        -3.00,                                        -0.91,                                        335.00,                                        339.00,                                        322.50,"                                        18,636.00",                                        329.00,2023-07-13 15:00:00
                                        48,EHPL,                                        313.00,                                        -10.00,                                        -3.10,                                        316.60,                                        329.30,                                        311.10,"                                        3,295.00",                                        323.00,2023-07-13 15:00:00
                                        49,ENL,                                        692.10,                                        -13.80,                                        -1.95,                                        717.00,                                        725.00,                                        692.10,"                                        2,816.00",                                        705.90,2023-07-13 15:00:00
                                        50,FMDBL,                                        750.00,                                        8.90,                                        1.20,                                        743.00,                                        774.00,                                        736.00,"                                        69,336.00",                                        741.10,2023-07-13 15:00:00
                                        51,FOWAD,"                                        1,340.00",                                        20.00,                                        1.52,"                                        1,320.00","                                        1,365.00","                                        1,300.40","                                        9,581.00","                                        1,320.00",2023-07-13 15:00:00
                                        52,GBBD85,"                                        1,000.00",                                        71.00,                                        7.64,                                        947.00,"                                        1,000.00",                                        947.00,                                        70.00,                                        929.00,2023-07-13 15:00:00
                                        53,GBBL,                                        384.30,                                        -4.30,                                        -1.11,                                        395.00,                                        395.00,                                        384.00,"                                        33,617.00",                                        388.60,2023-07-13 15:00:00
                                        54,GBD80/81,"                                        1,075.00",                                        15.10,                                        1.42,"                                        1,038.80","                                        1,075.00","                                        1,038.80",                                        45.00,"                                        1,059.90",2023-07-13 15:00:00
                                        55,GBILD86/87,                                        819.00,                                        1.00,                                        0.12,                                        834.00,                                        834.00,                                        819.00,                                        40.00,                                        818.00,2023-07-13 15:00:00
                                        56,GBIME,                                        183.50,                                        3.00,                                        1.66,                                        182.90,                                        185.00,                                        182.00,"                                        86,772.00",                                        180.50,2023-07-13 15:00:00
                                        57,GBIMEP,                                        103.00,                                        0.10,                                        0.10,                                        103.00,                                        103.00,                                        103.00,"                                        10,000.00",                                        102.90,2023-07-13 15:00:00
                                        58,GBLBS,                                        579.10,                                        -11.90,                                        -2.01,                                        602.80,                                        624.00,                                        578.00,"                                        8,439.00",                                        591.00,2023-07-13 15:00:00
                                        59,GFCL,                                        482.00,                                        -15.00,                                        -3.02,                                        487.30,                                        503.00,                                        482.00,"                                        16,358.00",                                        497.00,2023-07-13 15:00:00
                                        60,GHL,                                        220.80,                                        -5.00,                                        -2.21,                                        229.00,                                        234.80,                                        220.80,"                                        18,759.00",                                        225.80,2023-07-13 15:00:00
                                        61,GIBF1,                                        9.16,                                        0.51,                                        5.90,                                        8.50,                                        9.16,                                        8.50,"                                        2,220.00",                                        8.65,2023-07-13 15:00:00
                                        62,GILB,"                                        1,010.00",                                        3.00,                                        0.30,"                                        1,027.00","                                        1,027.00",                                        970.00,"                                        5,366.00","                                        1,007.00",2023-07-13 15:00:00
                                        63,GLBSL,                                        739.00,                                        19.00,                                        2.64,                                        710.00,                                        740.00,                                        710.00,                                        382.00,                                        720.00,2023-07-13 15:00:00
                                        64,GLH,                                        260.00,                                        -7.20,                                        -2.69,                                        267.20,                                        280.50,                                        255.80,"                                        79,148.00",                                        267.20,2023-07-13 15:00:00
                                        65,GMFBS,                                        797.80,                                        -30.20,                                        -3.65,                                        844.00,                                        861.30,                                        797.80,                                        414.00,                                        828.00,2023-07-13 15:00:00
                                        66,GMFIL,                                        399.80,                                        0.80,                                        0.20,                                        391.90,                                        407.00,                                        391.90,"                                        46,193.00",                                        399.00,2023-07-13 15:00:00
                                        67,GRDBL,                                        310.00,                                        -8.00,                                        -2.52,                                        324.30,                                        330.00,                                        303.30,"                                        9,948.00",                                        318.00,2023-07-13 15:00:00
                                        68,GUFL,                                        564.90,                                        -7.10,                                        -1.24,                                        583.40,                                        590.00,                                        554.70,"                                        31,405.00",                                        572.00,2023-07-13 15:00:00
                                        69,GVL,                                        388.10,                                        -19.60,                                        -4.81,                                        405.00,                                        420.00,                                        388.10,"                                        35,064.00",                                        407.70,2023-07-13 15:00:00
                                        70,GWFD83,"                                        1,110.00",                                        10.50,                                        0.95,"                                        1,090.00","                                        1,110.00","                                        1,080.00",                                        380.00,"                                        1,099.50",2023-07-13 15:00:00
                                        71,HBL,                                        208.90,                                        0.90,                                        0.43,                                        209.00,                                        212.00,                                        208.90,"                                        19,046.00",                                        208.00,2023-07-13 15:00:00
                                        72,HDHPC,                                        153.90,                                        -5.10,                                        -3.21,                                        161.00,                                        164.00,                                        153.00,"                                        113,729.00",                                        159.00,2023-07-13 15:00:00
                                        73,HDL,"                                        2,241.00",                                        -24.00,                                        -1.06,"                                        2,308.00","                                        2,308.00","                                        2,230.00","                                        30,425.00","                                        2,265.00",2023-07-13 15:00:00
                                        74,HEI,                                        605.00,                                        -12.00,                                        -1.94,                                        615.00,                                        624.00,                                        602.00,"                                        35,946.00",                                        617.00,2023-07-13 15:00:00
                                        75,HEIP,                                        450.00,                                        -1.80,                                        -0.40,                                        442.80,                                        454.00,                                        442.80,"                                        13,209.00",                                        451.80,2023-07-13 15:00:00
                                        76,HHL,                                        259.00,                                        -5.00,                                        -1.89,                                        258.90,                                        269.20,                                        253.80,"                                        11,755.00",                                        264.00,2023-07-13 15:00:00
                                        77,HIDCL,                                        183.90,                                        -0.10,                                        -0.05,                                        187.60,                                        189.00,                                        180.80,"                                        112,548.00",                                        184.00,2023-07-13 15:00:00
                                        78,HIDCLP,                                        103.90,                                        -0.90,                                        -0.86,                                        106.70,                                        106.70,                                        102.30,"                                        68,346.00",                                        104.80,2023-07-13 15:00:00
                                        79,HLI,                                        507.00,                                        10.80,                                        2.18,                                        500.00,                                        514.00,                                        498.00,"                                        318,517.00",                                        496.20,2023-07-13 15:00:00
                                        80,HPPL,                                        291.00,                                        -18.00,                                        -5.83,                                        309.00,                                        309.00,                                        291.00,"                                        41,421.00",                                        309.00,2023-07-13 15:00:00
                                        81,HURJA,                                        272.00,                                        2.00,                                        0.74,                                        274.00,                                        290.50,                                        272.00,"                                        52,759.00",                                        270.00,2023-07-13 15:00:00
                                        82,ICFC,                                        524.00,                                        -10.00,                                        -1.87,                                        538.00,                                        542.90,                                        521.00,"                                        53,621.00",                                        534.00,2023-07-13 15:00:00
                                        83,ICFCD83,"                                        1,140.00",                                        3.10,                                        0.27,"                                        1,146.90","                                        1,146.90","                                        1,139.50",                                        70.00,"                                        1,136.90",2023-07-13 15:00:00
                                        84,IGI,                                        558.00,                                        -12.00,                                        -2.11,                                        580.00,                                        581.00,                                        556.00,"                                        113,923.00",                                        570.00,2023-07-13 15:00:00
                                        85,IHL,                                        260.00,                                        -10.10,                                        -3.74,                                        275.50,                                        280.00,                                        260.00,"                                        9,348.00",                                        270.10,2023-07-13 15:00:00
                                        86,ILBS,                                        702.00,                                        -1.80,                                        -0.26,                                        717.00,                                        717.00,                                        696.00,"                                        2,527.00",                                        703.80,2023-07-13 15:00:00
                                        87,JALPA,"                                        1,613.60",                                        36.60,                                        2.32,"                                        1,580.00","                                        1,613.60","                                        1,570.00",                                        540.00,"                                        1,577.00",2023-07-13 15:00:00
                                        88,JBBL,                                        297.00,                                        -6.00,                                        -1.98,                                        308.00,                                        308.00,                                        296.00,"                                        68,272.00",                                        303.00,2023-07-13 15:00:00
                                        89,JBLB,"                                        1,608.00",                                        2.00,                                        0.12,"                                        1,620.00","                                        1,637.00","                                        1,606.00","                                        3,007.00","                                        1,606.00",2023-07-13 15:00:00
                                        90,JFL,                                        404.00,                                        -4.90,                                        -1.20,                                        404.00,                                        418.00,                                        403.00,"                                        17,384.00",                                        408.90,2023-07-13 15:00:00
                                        91,JOSHI,                                        268.00,                                        -4.00,                                        -1.47,                                        273.00,                                        278.00,                                        261.30,"                                        18,023.00",                                        272.00,2023-07-13 15:00:00
                                        92,JSLBB,"                                        1,030.00",                                        16.90,                                        1.67,"                                        1,016.10","                                        1,065.00",                                        995.00,"                                        2,177.00","                                        1,013.10",2023-07-13 15:00:00
                                        93,KBL,                                        160.00,                                        -2.70,                                        -1.66,                                        163.00,                                        164.20,                                        159.80,"                                        115,663.00",                                        162.70,2023-07-13 15:00:00
                                        94,KDBY,                                        9.68,                                        -0.39,                                        -3.87,                                        9.87,                                        9.87,                                        9.68,"                                        2,500.00",                                        10.07,2023-07-13 15:00:00
                                        95,KDL,                                        938.00,                                        -12.00,                                        -1.26,                                        951.30,                                        970.00,                                        935.00,"                                        9,192.00",                                        950.00,2023-07-13 15:00:00
                                        96,KEF,                                        9.37,                                        0.43,                                        4.81,                                        9.00,                                        9.83,                                        8.78,"                                        37,531.00",                                        8.94,2023-07-13 15:00:00
                                        97,KKHC,                                        202.00,                                        -6.60,                                        -3.16,                                        212.70,                                        215.00,                                        199.90,"                                        4,505.00",                                        208.60,2023-07-13 15:00:00
                                        98,KLBSL,                                        710.00,                                        -25.00,                                        -3.40,                                        735.00,                                        747.00,                                        710.00,                                        651.00,                                        735.00,2023-07-13 15:00:00
                                        99,KMCDB,                                        754.00,                                        34.00,                                        4.72,                                        734.00,                                        754.00,                                        706.00,"                                        6,509.00",                                        720.00,2023-07-13 15:00:00
                                        100,KPCL,                                        355.10,                                        -4.90,                                        -1.36,                                        367.20,                                        373.00,                                        355.10,"                                        2,348.00",                                        360.00,2023-07-13 15:00:00
                                        101,KRBL,                                        284.00,                                        -10.00,                                        -3.40,                                        295.00,                                        299.70,                                        281.00,"                                        15,432.00",                                        294.00,2023-07-13 15:00:00
                                        102,KSBBL,                                        330.00,                                        -6.00,                                        -1.79,                                        341.80,                                        341.80,                                        327.00,"                                        43,541.00",                                        336.00,2023-07-13 15:00:00
                                        103,LBBL,                                        405.30,                                        -6.70,                                        -1.63,                                        419.00,                                        420.00,                                        405.30,"                                        46,624.00",                                        412.00,2023-07-13 15:00:00
                                        104,LBL,                                        173.00,                                        1.00,                                        0.58,                                        175.30,                                        177.90,                                        170.00,"                                        21,479.00",                                        172.00,2023-07-13 15:00:00
                                        105,LBLD86,                                        953.70,                                        18.70,                                        2.00,                                        953.70,                                        953.70,                                        953.70,                                        25.00,                                        935.00,2023-07-13 15:00:00
                                        106,LEC,                                        260.00,                                        -9.20,                                        -3.42,                                        265.00,                                        265.00,                                        248.00,"                                        33,282.00",                                        269.20,2023-07-13 15:00:00
                                        107,LEMF,                                        9.44,                                        -0.47,                                        -4.74,                                        10.00,                                        10.00,                                        9.13,"                                        92,301.00",                                        9.91,2023-07-13 15:00:00
                                        108,LICN,"                                        1,566.00",                                        -37.00,                                        -2.31,"                                        1,615.00","                                        1,615.00","                                        1,565.00","                                        6,396.00","                                        1,603.00",2023-07-13 15:00:00
                                        109,LLBS,                                        860.00,                                        10.00,                                        1.18,                                        867.00,                                        883.90,                                        850.00,"                                        2,099.00",                                        850.00,2023-07-13 15:00:00
                                        110,LUK,                                        9.32,                                        0.30,                                        3.33,                                        9.19,                                        9.35,                                        9.04,"                                        32,090.00",                                        9.02,2023-07-13 15:00:00
                                        111,MAKAR,                                        290.00,                                        0.00,                                        0.00,                                        284.80,                                        295.80,                                        274.50,"                                        5,278.00",                                        290.00,2023-07-13 15:00:00
                                        112,MBJC,                                        303.70,                                        -9.30,                                        -2.97,                                        319.20,                                        325.00,                                        303.10,"                                        31,678.00",                                        313.00,2023-07-13 15:00:00
                                        113,MBL,                                        228.20,                                        -0.90,                                        -0.39,                                        230.00,                                        233.60,                                        228.20,"                                        32,599.00",                                        229.10,2023-07-13 15:00:00
                                        114,MCHL,                                        226.00,                                        -4.00,                                        -1.74,                                        230.00,                                        234.00,                                        225.80,"                                        4,160.00",                                        230.00,2023-07-13 15:00:00
                                        115,MDB,                                        403.00,                                        -10.00,                                        -2.42,                                        419.50,                                        421.20,                                        402.00,"                                        21,359.00",                                        413.00,2023-07-13 15:00:00
                                        116,MEL,                                        208.60,                                        -10.90,                                        -4.97,                                        217.00,                                        223.50,                                        207.60,"                                        76,665.00",                                        219.50,2023-07-13 15:00:00
                                        117,MEN,"                                        1,019.00",                                        19.00,                                        1.90,                                        980.00,"                                        1,040.00",                                        935.20,"                                        14,000.00","                                        1,000.00",2023-07-13 15:00:00
                                        118,MERO,                                        675.00,                                        3.00,                                        0.45,                                        680.00,                                        704.80,                                        667.00,"                                        10,478.00",                                        672.00,2023-07-13 15:00:00
                                        119,MFIL,                                        555.00,                                        -11.20,                                        -1.98,                                        571.00,                                        577.00,                                        553.10,"                                        46,673.00",                                        566.20,2023-07-13 15:00:00
                                        120,MFLD85,"                                        1,015.00",                                        36.10,                                        3.69,                                        959.40,"                                        1,015.00",                                        959.40,                                        135.00,                                        978.90,2023-07-13 15:00:00
                                        121,MHCL,                                        214.00,                                        -4.00,                                        -1.83,                                        222.30,                                        223.30,                                        212.00,"                                        8,373.00",                                        218.00,2023-07-13 15:00:00
                                        122,MHL,                                        309.00,                                        -8.90,                                        -2.80,                                        311.60,                                        320.00,                                        295.10,"                                        7,663.00",                                        317.90,2023-07-13 15:00:00
                                        123,MHNL,                                        235.00,                                        -6.00,                                        -2.49,                                        244.00,                                        245.00,                                        234.00,"                                        22,492.00",                                        241.00,2023-07-13 15:00:00
                                        124,MKHC,                                        234.60,                                        -5.40,                                        -2.25,                                        236.00,                                        244.80,                                        233.00,"                                        8,800.00",                                        240.00,2023-07-13 15:00:00
                                        125,MKHL,                                        285.40,                                        -1.60,                                        -0.56,                                        290.00,                                        294.00,                                        282.40,"                                        16,341.00",                                        287.00,2023-07-13 15:00:00
                                        126,MKJC,                                        379.80,                                        -16.20,                                        -4.09,                                        403.00,                                        408.00,                                        368.60,"                                        3,469.00",                                        396.00,2023-07-13 15:00:00
                                        127,MKLB,                                        730.00,                                        -43.00,                                        -5.56,                                        773.00,                                        787.00,                                        730.00,                                        832.00,                                        773.00,2023-07-13 15:00:00
                                        128,MLBBL,                                        985.10,                                        56.00,                                        6.03,                                        946.00,                                        985.10,                                        920.00,"                                        2,806.00",                                        929.10,2023-07-13 15:00:00
                                        129,MLBL,                                        328.40,                                        -6.60,                                        -1.97,                                        341.60,                                        341.60,                                        328.40,"                                        51,750.00",                                        335.00,2023-07-13 15:00:00
                                        130,MLBS,                                        785.10,                                        13.10,                                        1.70,                                        768.10,                                        821.00,                                        768.10,                                        592.00,                                        772.00,2023-07-13 15:00:00
                                        131,MLBSL,"                                        2,089.00",                                        33.00,                                        1.61,"                                        2,060.00","                                        2,128.00","                                        2,056.00","                                        1,241.00","                                        2,056.00",2023-07-13 15:00:00
                                        132,MMF1,                                        7.84,                                        0.39,                                        5.23,                                        7.31,                                        8.04,                                        7.22,"                                        47,140.00",                                        7.45,2023-07-13 15:00:00
                                        133,MMFDB,                                        698.10,                                        -15.90,                                        -2.23,                                        725.00,                                        729.30,                                        698.10,"                                        2,965.00",                                        714.00,2023-07-13 15:00:00
                                        134,MNBBL,                                        407.00,                                        -7.50,                                        -1.81,                                        415.00,                                        419.90,                                        407.00,"                                        30,306.00",                                        414.50,2023-07-13 15:00:00
                                        135,MPFL,                                        386.00,                                        -5.50,                                        -1.40,                                        394.00,                                        395.00,                                        382.20,"                                        31,350.00",                                        391.50,2023-07-13 15:00:00
                                        136,MSLB,                                        867.00,                                        0.00,                                        0.00,                                        884.30,                                        884.30,                                        861.00,                                        904.00,                                        867.00,2023-07-13 15:00:00
                                        137,NABBC,                                        410.00,                                        -2.00,                                        -0.49,                                        409.00,                                        440.00,                                        409.00,"                                        7,958.00",                                        412.00,2023-07-13 15:00:00
                                        138,NABIL,                                        590.00,                                        4.00,                                        0.68,                                        574.30,                                        597.90,                                        574.30,"                                        66,352.00",                                        586.00,2023-07-13 15:00:00
                                        139,NADEP,                                        615.00,                                        -10.00,                                        -1.60,                                        630.00,                                        640.00,                                        606.10,"                                        7,338.00",                                        625.00,2023-07-13 15:00:00
                                        140,NBBD2085,"                                        1,158.70",                                        22.70,                                        2.00,"                                        1,158.70","                                        1,158.70","                                        1,158.70",                                        10.00,"                                        1,136.00",2023-07-13 15:00:00
                                        141,NBF2,                                        8.86,                                        0.25,                                        2.90,                                        8.63,                                        8.86,                                        8.63,"                                        7,975.00",                                        8.61,2023-07-13 15:00:00
                                        142,NBF3,                                        7.53,                                        0.27,                                        3.72,                                        7.16,                                        7.56,                                        7.14,"                                        27,325.00",                                        7.26,2023-07-13 15:00:00
                                        143,NBL,                                        245.00,                                        0.10,                                        0.04,                                        245.30,                                        250.50,                                        243.50,"                                        89,055.00",                                        244.90,2023-07-13 15:00:00
                                        144,NBLD82,                                        990.40,                                        19.40,                                        2.00,                                        990.40,                                        990.40,                                        990.40,                                        35.00,                                        971.00,2023-07-13 15:00:00
                                        145,NBLD85,                                        843.20,                                        32.70,                                        4.03,                                        826.70,                                        843.20,                                        826.70,                                        40.00,                                        810.50,2023-07-13 15:00:00
                                        146,NBLD87,                                        869.00,                                        48.10,                                        5.86,                                        830.00,                                        869.00,                                        830.00,                                        165.00,                                        820.90,2023-07-13 15:00:00
                                        147,NEF,                                        9.73,                                        0.33,                                        3.51,                                        9.58,                                        9.74,                                        9.40,"                                        18,827.00",                                        9.40,2023-07-13 15:00:00
                                        148,NESDO,"                                        2,038.00",                                        -6.00,                                        -0.29,"                                        2,084.80","                                        2,084.80","                                        2,034.20","                                        2,523.00","                                        2,044.00",2023-07-13 15:00:00
                                        149,NFS,                                        353.00,                                        -7.00,                                        -1.94,                                        360.00,                                        366.80,                                        350.00,"                                        62,073.00",                                        360.00,2023-07-13 15:00:00
                                        150,NGPL,                                        239.00,                                        0.00,                                        0.00,                                        243.70,                                        249.70,                                        238.00,"                                        117,142.00",                                        239.00,2023-07-13 15:00:00
                                        151,NHDL,                                        375.20,                                        -13.70,                                        -3.52,                                        396.60,                                        404.30,                                        375.00,"                                        6,687.00",                                        388.90,2023-07-13 15:00:00
                                        152,NHPC,                                        180.50,                                        -1.60,                                        -0.88,                                        185.70,                                        190.90,                                        180.00,"                                        115,790.00",                                        182.10,2023-07-13 15:00:00
                                        153,NIBD2082,"                                        1,009.40",                                        -3.50,                                        -0.35,"                                        1,030.00","                                        1,030.00","                                        1,009.40",                                        235.00,"                                        1,012.90",2023-07-13 15:00:00
                                        154,NIBD84,                                        865.00,                                        13.30,                                        1.56,                                        835.20,                                        865.00,                                        835.20,                                        45.00,                                        851.70,2023-07-13 15:00:00
                                        155,NIBLGF,                                        9.68,                                        0.70,                                        7.80,                                        9.12,                                        9.87,                                        9.12,"                                        1,400.00",                                        8.98,2023-07-13 15:00:00
                                        156,NIBLPF,                                        9.74,                                        0.48,                                        5.18,                                        9.38,                                        10.13,                                        9.10,"                                        46,597.00",                                        9.26,2023-07-13 15:00:00
                                        157,NIBSF2,                                        8.63,                                        0.78,                                        9.94,                                        8.00,                                        8.63,                                        8.00,"                                        63,034.00",                                        7.85,2023-07-13 15:00:00
                                        158,NICA,                                        781.90,                                        1.90,                                        0.24,                                        790.00,                                        790.00,                                        779.20,"                                        40,669.00",                                        780.00,2023-07-13 15:00:00
                                        159,NICAD8283,"                                        1,099.00",                                        5.00,                                        0.46,"                                        1,094.00","                                        1,099.00","                                        1,094.00",                                        35.00,"                                        1,094.00",2023-07-13 15:00:00
                                        160,NICBF,                                        9.38,                                        0.18,                                        1.96,                                        9.25,                                        9.38,                                        9.16,"                                        48,201.00",                                        9.20,2023-07-13 15:00:00
                                        161,NICD83/84,"                                        1,090.00",                                        16.00,                                        1.49,"                                        1,090.00","                                        1,090.00","                                        1,090.00",                                        10.00,"                                        1,074.00",2023-07-13 15:00:00
                                        162,NICFC,                                        9.42,                                        0.16,                                        1.73,                                        9.30,                                        10.00,                                        9.06,"                                        4,901.00",                                        9.26,2023-07-13 15:00:00
                                        163,NICGF,                                        9.94,                                        0.01,                                        0.10,                                        9.87,                                        10.12,                                        9.87,"                                        30,900.00",                                        9.93,2023-07-13 15:00:00
                                        164,NICL,                                        836.00,                                        -12.00,                                        -1.42,                                        862.00,                                        864.00,                                        831.00,"                                        18,079.00",                                        848.00,2023-07-13 15:00:00
